date,intervalNumber,use
2017-01-04 21:30:00.000005,42,0
2017-01-04 22:00:00.000102,43,44
2017-01-04 22:30:00.003268,44,11
2017-01-04 23:00:00.000082,45,33
2017-01-04 23:30:00.000177,46,44
2017-01-05 00:00:00.000118,47,4
2017-01-05 00:30:00.000221,0,3
2017-01-05 01:00:00.003236,1,0
2017-01-05 01:30:00.003235,2,3
2017-01-05 02:00:00.003234,3,4
2017-01-05 02:30:00.000192,4,0
2017-01-05 03:00:00.001711,5,0
2017-01-05 03:30:00.000187,6,0
2017-01-05 04:00:00.003332,7,1
2017-01-05 04:30:00.003241,8,0
2017-01-05 05:00:00.000090,9,0
2017-01-05 05:30:00.000090,10,0
2017-01-05 06:00:00.003238,11,0
2017-01-05 06:30:00.000020,12,0
2017-01-05 07:00:00.003236,13,6
2017-01-05 07:30:00.000181,14,11
2017-01-05 08:00:00.003233,15,4
2017-01-05 08:30:00.000372,16,9
2017-01-05 09:00:00.000143,17,6
2017-01-05 09:30:00.000236,18,24
2017-01-05 10:00:08.933908,19,4
2017-01-05 10:30:00.000156,20,22
2017-01-05 11:00:00.000017,21,13
2017-01-05 11:30:00.000158,22,27
2017-01-05 12:00:00.003243,23,12
2017-01-05 12:30:00.000079,24,12
2017-01-05 13:00:00.003249,25,0
2017-01-05 13:30:00.003242,26,0
2017-01-05 14:00:00.002360,27,0
2017-01-05 14:30:00.000136,28,0
2017-01-05 15:00:00.000768,29,0
2017-01-05 15:30:00.003235,30,11
2017-01-05 16:00:00.003233,31,14
2017-01-05 16:30:00.006158,32,3
2017-01-05 18:00:00.000061,35,10
2017-01-05 18:30:00.000483,36,15
2017-01-05 19:00:00.000116,37,26
2017-01-05 19:30:00.000086,38,10
2017-01-05 20:00:00.410769,39,16
2017-01-05 20:30:00.000417,40,13
2017-01-05 21:00:00.000047,41,8
